,Fecha,Medio,Título,Resumen,Alcance
465,2025-06-01,El Diario de Chihuahua CHIH (sitio),Certifica INE sistema de conteo de votos del PJ,"Cd. de México.- Ante notario público, el INE certificó el funcionamiento del sistema que operará a partir de las 20:00 horas de este domingo para contar los votos de la elección judicial.Durante la sesión del Consejo General, también se confirmó que tanto los programas como la base de datos empleados sean exactamente los mismos que fueron evaluados por la Universidad Autónoma Metropolitana (UAM), Campus Iztapalapa. Publicidad",545000
466,2025-06-01,El Diario del Noroeste CHIH (sitio),Certifica INE sistema de conteo de votos del PJ,"Ante notario público, el INE certificó el funcionamiento del sistema que operará a partir de las 20:00 horas de este domingo para contar los votos de la elección judicial.",41800
467,2025-06-01,Sin Embargo (sitio),Una jornada histórica #EnVivo ¬ Las casillas cierran luego de una elección judicial sin incidentes mayores,,4600000
468,2025-06-01,Plano Informativo SLP (sitio),Certifica INE sistema de conteo de votos del PJ,"Ante notario público, el INE certificó el funcionamiento del sistema que operará a partir de las 20:00 horas de este domingo para contar los votos de la elección judicial.",404200
469,2025-06-01,Diario Chihuahua (Sitio),Certifica INE sistema de conteo de votos del PJ,"Cd. de México.- Ante notario público, el INE certificó el funcionamiento del sistema que operará a partir de las 20:00 horas de este domingo para contar los votos de la elección judicial.",348000
470,2025-06-01,Reforma.com (sitio),Certifica INE sistema de conteo de votos del PJ,Erika Hernández,8200000
471,2025-06-01,Uniradio Informa BC (Sitio),Consejo General del INE convoca a las y los ciudadanos a ejercer su derecho al voto en la primera elección del Poder Judicial de la Federación,"Votar es un derecho, pero también es una obligación cívica: Guadalupe Taddei",125000
472,2025-06-01,Talla Política CDMX (Sitio),Consejo General del INE convoca a las y los ciudadanos a ejercer su derecho al voto en la primera elección del Poder Judicial de la Federación,"Ciudad de México, 1 de junio de 2025",1916
473,2025-06-01,Central Electoral (sitio),Consejo General del INE convoca a las y los ciudadanos a ejercer su derecho al voto en la primera elección del Poder Judicial de la Federación,Número: 185,22300
474,2025-06-01,La Capital TAMPS (sitio),INE convoca a votar en la primera elección del Poder Judicial de la Federación,"CIUDAD DE MEXICO.- Al instalarse en sesión permanente, el Consejo General del Instituto Nacional Electoral (INE) convocó a la ciudadanía a ejercer su derecho al voto y, con ello, renovar la mitad de los cargos del Poder Judicial de la Federación, con la garantía de que su voto cuenta y se contará bien.",15000
475,2025-06-01,Semanario Zeta Baja California (sitio),Beatriz Gutiérrez Müller recomienda a ciudadanos llevar acordeón para elección judicial,"Beatriz Gutiérrez Müller, esposa del ex presidente de la República, Andrés Manuel López Obrador, recomendó a los ciudadanos mexicanos , el 1 de junio de 2025, llevar a las casillas en donde votarían una lista con los nombres de quienes elegirían para el Poder Judicial.",569300
